Name,Address,City,Country,Beds,Trauma,Phone
Paris Regional Medical Center - North Campus,865 Deshong Drive,Paris,USA,154,General Medical,(903) 785-4521
Diginity Health-St.Rose Dominican Blue Daimond Campus,4855 Blue Diamond Road,Las Vagas,USA,1001,General Medical,(702) 216-7305
Vermont Psychiatric Care Hospital,"280 State Drive,Nob 2 North",Waterbury,USA,53,General Medical,(802) 241-0090
Kindred Hospital Clear Lake,350 Blossom Street,Webster,USA,110,General Medical,(281) 316-7800
Kindred Hospital Tomball,505 Graham Drive,Tomball,USA,75,General Medical,(281) 255-5600
Carl R. Darnall Army Medical Center,36000 Darnall Loop,Fort Hood,USA,1001,Lung Cancer,NOT AVAILABLE
Baylor Scott & White Mclane Children'S Medical Center,1901 Southwest H. K. Dodgen Loop,Temple,USA,64,Covid,(254) 771-8600
Metroplex Hospital,2201 South Clear Creek Road,Killeen,USA,172,Breast Cancer,(254) 519-8165
Christus Spohn Hospital Beeville,1500 East Houston Highway,Beeville,USA,69,Breast Cancer,(361) 354-2125
Thomas E. Creek Va Medical Center,6010 Amarillo Blvd W,Amarillo,USA,1001,General Medical,(806) 355-9703
Baptist Emergency Hospital - Thousand Oaks,16088 San Pedro,San Antonio,USA,10,General Medical,(210) 402-4092
Lifecare Hospitals Of San Antonio,8902 Floyd Curl Drive,San Antonio,USA,62,General Medical,(210) 690-7000
Kona Community Hospital,79-1019  Haukapila St,Kealakekua,USA,94,General Medical,(808) 322-9311
Oceans Behavioral Hospital Of Abilene,4225 Woods Place,Abilene,USA,92,General Medical,(325) 698-6600
Austin Lakes Hospital,1025 East 32nd Street,Austin,USA,58,General Medical,(512) 544-5253
Big Spring State Hospital,1901 North Highway 87,Big Spring,USA,200,General Medical,NOT AVAILABLE
Hickory Trail Hospital,2000 North Old Hickory Trail,De Soto,USA,84,General Medical,(972) 298-7323
Marian Center,451 East Bishop Federal Lane,Salt Lake City,USA,1001,General Medical,(801) 487-7557
Center For Change,1790 North State Street,Orem,USA,1001,General Medical,(801) 224-8255
Blue Mountain Hospital,802 South 200 West,Blanding,USA,1001,General Medical,(435) 678-3993
Cherokee Nation W. W. Hastings Hospital,100 South Bliss Avenue,Tahlequah,USA,1001,General Medical,(918) 458-3100
Bartlett Regional Hospital,3260 Hospital Drive,Juneau,USA,1001,Breast Cancer,(907) 796-8900
Cypress Fairbanks Medical Center,10655 Steepletop Drive,Houston,USA,180,Lung Cancer,(281) 949-3689
Claremore Hospital,101 S Moore Avenue (South Moore & Will Rogers Blvd),Claremore,USA,1001,General Medical,(918) 342-6200
Blackfeet Community Hospital,760 Hospital Circle,Browning,USA,1001,General Medical,(406) 338-6230
Bassett Army Community Hospital,4076 Neely Rd,Fort Wainwright,USA,1001,Not Designated,(907) 361-5172
88th Medical Group - Wright-Patterson Air Force Base Medical Center,4881 Sugar Maple Dr,Wright Patterson Afb,USA,1001,General Medical,NOT AVAILABLE
