ID_1,ID,LATITUDE,LONGITUDE,CATEGORY,STATES_NAME_EN,REGION_EN,UNIQUE_NUMBER,ID_NO,REV_BIS,NAME_EN,SHORT_DESCRIPTION_EN,JUSTIFICATION_EN,DATE_INSCRIBED,SECONDARY_DATES,DANGER,DATE_END,DANGER_LIST,AREA_HECTARES,CRITERIA_TXT,CATEGORY_SHORT,ISO_CODE,UDNP_CODE,TRANSBOUNDARY,GEOMETRY,TOP_10,PANORAMA
415,422,15.94833,75.81667,Cultural,India,Asia and the Pacific,266,239,rev,Group of Monuments at Pattadakal," Pattadakal, in Karnataka, represents the high point of an eclectic art which, in the 7th and 8th centuries under the Chalukya dynasty, achieved a harmonious blend of architectural forms from northern and southern India. An impressive series of nine Hindu temples, as well as a Jain sanctuary, can be seen there. One masterpiece from the group stands out ⿿ the Temple of Virupaksha, built c. 740 by Queen Lokamahadevi to commemorate her husband's victory over the kings from the South. ",,1987,,0,,,5.56,(iii)(iv),C,in,ind,0,"[Point (75.8167,15.9483)]",No,
416,423,24.85222,79.92222,Cultural,India,Asia and the Pacific,267,240,,Khajuraho Group of Monuments," The temples at Khajuraho were built during the Chandella dynasty, which reached its apogee between 950 and 1050. Only about 20 temples remain; they fall into three distinct groups and belong to two different religions &ndash; Hinduism and Jainism. They strike a perfect balance between architecture and sculpture. The Temple of Kandariya is decorated with a profusion of sculptures that are among the greatest masterpieces of Indian art. ",,1986,,0,,,0,(i)(iii),C,in,ind,0,"[Point (79.9222,24.8522)]",No,
417,424,15.31444,76.47167,Cultural,India,Asia and the Pacific,1932,241,Bis,Group of Monuments at Hampi," The austere, grandiose site of Hampi was the last capital of the last great Hindu Kingdom of Vijayanagar. Its fabulously rich princes built Dravidian temples and palaces which won the admiration of travellers between the 14th and 16th centuries. Conquered by the Deccan Muslim confederacy in 1565, the city was pillaged over a period of six months before being abandoned. ",,1986,,0,2006,P 1999-2006,4187.24,(i)(iii)(iv),C,in,ind,0,"[Point (76.4717,15.3144)]",No,
418,425,20.55333,75.7,Cultural,India,Asia and the Pacific,269,242,,Ajanta Caves," The first Buddhist cave monuments at Ajanta date from the 2nd and 1st centuries B.C. During the Gupta period (5th and 6th centuries A.D.), many more richly decorated caves were added to the original group. The paintings and sculptures of Ajanta, considered masterpieces of Buddhist religious art, have had a considerable artistic influence. ",,1983,,0,,,8242,(i)(ii)(iii)(vi),C,in,ind,0,"[Point (75.7000,20.5533)]",No,
419,426,20.02639,75.17917,Cultural,India,Asia and the Pacific,270,243,,Ellora Caves," These 34 monasteries and temples, extending over more than 2 km, were dug side by side in the wall of a high basalt cliff, not far from Aurangabad, in Maharashtra. Ellora, with its uninterrupted sequence of monuments dating from A.D. 600 to 1000, brings the civilization of ancient India to life. Not only is the Ellora complex a unique artistic creation and a technological exploit but, with its sanctuaries devoted to Buddhism, Hinduism and Jainism, it illustrates the spirit of tolerance that was characteristic of ancient India. ",,1983,,0,,,0,(i)(iii)(vi),C,in,ind,0,"[Point (75.1792,20.0264)]",No,
420,427,18.96667,72.93583,Cultural,India,Asia and the Pacific,272,244,rev,Elephanta Caves," The 'City of Caves', on an island in the Sea of Oman close to Bombay, contains a collection of rock art linked to the cult of Shiva. Here, Indian art has found one of its most perfect expressions, particularly the huge high reliefs in the main cave. ",,1987,,0,,,0,(i)(iii),C,in,ind,0,"[Point (72.9358,18.9667)]",No,
421,428,19.8875,86.09472,Cultural,India,Asia and the Pacific,274,246,,"Sun Temple, Konârak"," On the shores of the Bay of Bengal, bathed in the rays of the rising sun, the temple at Konarak is a monumental representation of the sun god Surya's chariot; its 24 wheels are decorated with symbolic designs and it is led by a team of six horses. Built in the 13th century, it is one of India's most famous Brahman sanctuaries. ",,1984,,0,,,10.62,(i)(iii)(vi),C,in,ind,0,"[Point (86.0947,19.8875)]",No,
422,429,24.88333333,74.64611111,Cultural,India,Asia and the Pacific,1947,247,Rev,Hill Forts of Rajasthan," The serial site, situated in the state of Rajastahan, includes six majestic forts in Chittorgarh; Kumbhalgarh; Sawai Madhopur; Jhalawar; Jaipur, and Jaisalmer. The ecclectic architecture of the forts, some up to 20 kilometres in circumference, bears testimony to the power of the Rajput princely states that flourished in the region from the 8th to the 18th centuries. Enclosed within defensive walls are major urban centres, palaces, trading centres and other buildings including temples that often predate the fortifications within which developed an elaborate courtly culture that supported learning, music and the arts. Some of the urban centres enclosed in the fortifications have survived, as have many of the site's temples and other sacred buildings. The forts use the natural defenses offered by the landscape: hills, deserts, rivers, and dense forests. They also feature extensive water harvesting structures, largely still in use today. ",,2013,,0,,,,(ii)(iii),C,in,ind,0,"[Point (74.6461,24.8833)]",No,
423,430,12.61667,80.19167,Cultural,India,Asia and the Pacific,277,249,,Group of Monuments at Mahabalipuram," This group of sanctuaries, founded by the Pallava kings, was carved out of rock along the Coromandel coast in the 7th and 8th centuries. It is known especially for its <em>rathas</em> (temples in the form of chariots), <em>mandapas</em> (cave sanctuaries), giant open-air reliefs such as the famous 'Descent of the Ganges', and the temple of Rivage, with thousands of sculptures to the glory of Shiva. ",,1984,,0,,,0,(i)(ii)(iii)(vi),C,in,ind,0,"[Point (80.1917,12.6167)]",No,
424,431,10.78305556,79.1325,Cultural,India,Asia and the Pacific,280,250,Bis,Great Living Chola Temples," The Great Living Chola Temples were built by kings of the Chola Empire, which stretched over all of south India and the neighbouring islands. The site includes three great 11th- and 12th-century Temples: the Brihadisvara Temple at Thanjavur, the Brihadisvara Temple at Gangaikondacholisvaram and the Airavatesvara Temple at Darasuram. The Temple of Gangaikondacholisvaram, built by Rajendra I, was completed in 1035. Its 53-m <em>vimana</em> (sanctum tower) has recessed corners and a graceful upward curving movement, contrasting with the straight and severe tower at Thanjavur. The Airavatesvara temple complex, built by Rajaraja II, at Darasuram features a 24-m <em>vimana</em> and a stone image of Shiva. The temples testify to the brilliant achievements of the Chola in architecture, sculpture, painting and bronze casting. "," <em>Criterion (i):</em> The three Chola temples of Southern India represent an outstanding creative achievement in the architectural conception of the pure form of the dravida type of temple. 
 <em>Criterion (ii):</em> The Brihadisvara Temple at Thanjavur became the first great example of the Chola temples, followed by a development of which the other two properties also bear witness. 
 <em>Criterion (iii):</em> The three Great Chola Temples are an exceptional and the most outstanding testimony to the development of the architecture of the Chola Empire and the Tamil civilisation in Southern India. 
 <em>Criterion (iv):</em> The Great Chola temples at Thanjavur, at Gangaikondacholapuram and Darasuram are outstanding examples of the architecture and the representation of the Chola ideology. ",1987,2004,0,,,21.88,(ii)(iii),C,in,ind,0,"[Point (79.1325,10.7831)]",No,
