ID,LATITUDE,LONGITUDE,CATEGORY,STATES_NAME_EN,REGION_EN,NAME_EN
18,-42.5,-64,Natural,Argentina,Latin America and the Caribbean,Pennsula Valds
19,-30,-68,Natural,Argentina,Latin America and the Caribbean,Ischigualasto / Talampaya Natural Parks
20,-31.42056,-64.19111,Cultural,Argentina,Latin America and the Caribbean,Jesuit Block and Estancias of Córdoba
21,-23.19986111,-65.34886111,Cultural,Argentina,Latin America and the Caribbean,Quebrada de Humahuaca
22,-42.8528,-71.8728,Natural,Argentina,Latin America and the Caribbean,Los Alerces National Park
23,41.095,44.71028,Cultural,Armenia,Europe and North America,Monasteries of Haghpat and Sanahin
35,-53.1,73.5,Natural,Australia,Asia and the Pacific,Heard and McDonald Islands
36,-25.48611111,113.4361111,Natural,Australia,Asia and the Pacific,"Shark Bay, Western Australia"
37,-54.59472222,158.8955556,Natural,Australia,Asia and the Pacific,Macquarie Island
38,-25.21666667,153.1333333,Natural,Australia,Asia and the Pacific,Fraser Island
39,-19.08333333,138.7166667,Natural,Australia,Asia and the Pacific,Australian Fossil Mammal Sites (Riversleigh / Naracoorte)
40,-33.7,150,Natural,Australia,Asia and the Pacific,Greater Blue Mountains Area
24,40.15889,44.79667,Cultural,Armenia,Europe and North America,Monastery of Geghard and the Upper Azat Valley
25,40.15931,44.29514,Cultural,Armenia,Europe and North America,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots
26,-12.83333333,132.8333333,Mixed,Australia,Asia and the Pacific,Kakadu National Park
27,-18.28611111,147.7,Natural,Australia,Asia and the Pacific,Great Barrier Reef
28,-33.85666667,151.2152778,Cultural,Australia,Asia and the Pacific,Sydney Opera House
29,-34,143,Mixed,Australia,Asia and the Pacific,Willandra Lakes Region
30,-41.58333333,145.4166667,Mixed,Australia,Asia and the Pacific,Tasmanian Wilderness
31,-31.56555556,159.0883333,Natural,Australia,Asia and the Pacific,Lord Howe Island Group
32,-28.25,150.05,Natural,Australia,Asia and the Pacific,Gondwana Rainforests of Australia
33,-25.33333333,131,Mixed,Australia,Asia and the Pacific,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park
34,-15.65,144.9666667,Natural,Australia,Asia and the Pacific,Wet Tropics of Queensland
1,34.84694,67.82525,Cultural,Afghanistan,Asia and the Pacific,Cultural Landscape and Archaeological Remains of the Bamiyan Valley
2,34.39641667,64.51588889,Cultural,Afghanistan,Asia and the Pacific,Minaret and Archaeological Remains of Jam
3,40.06944444,20.13333333,Cultural,Albania,Europe and North America,Historic Centres of Berat and Gjirokastra
4,39.75111111,20.02611111,Cultural,Albania,Europe and North America,Butrint
5,35.81844,4.78684,Cultural,Algeria,Arab States,Al Qal'a of Beni Hammad
6,25.5,9,Mixed,Algeria,Arab States,Tassili n'Ajjer
7,32.48333,3.68333,Cultural,Algeria,Arab States,M'Zab Valley
8,36.32056,5.73667,Cultural,Algeria,Arab States,Djémila
9,36.55,2.383333333,Cultural,Algeria,Arab States,Tipasa
10,35.48416667,6.468861111,Cultural,Algeria,Arab States,Timgad
11,36.78333,3.06028,Cultural,Algeria,Arab States,Kasbah of Algiers
12,42.49472222,1.595555556,Cultural,Andorra,Europe and North America,Madriu-Perafita-Claror Valley
13,-6.268888889,14.24972222,Cultural,Angola,Africa,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo"
14,17.00694444,-61.76166667,Cultural,Antigua and Barbuda,Latin America and the Caribbean,Antigua Naval Dockyard and Related Archaeological Sites
15,-50,-73.24944,Natural,Argentina,Latin America and the Caribbean,Los Glaciares National Park
16,-25.51805556,-54.13333333,Natural,Argentina,Latin America and the Caribbean,Iguazu National Park
17,-47.15,-70.66666667,Cultural,Argentina,Latin America and the Caribbean,"Cueva de las Manos, Río Pinturas"
56,26.23306,50.52722222,Cultural,Bahrain,Arab States,Qal⿿at al-Bahrain ⿿ Ancient Harbour and Capital of Dilmun
57,26.24128,50.61351,Cultural,Bahrain,Arab States,"Pearling, Testimony of an Island Economy"
58,26.14972222,50.51277778,Cultural,Bahrain,Arab States,Dilmun Burial Mounds
59,22.66667,89.8,Cultural,Bangladesh,Asia and the Pacific,Historic Mosque City of Bagerhat
60,25.03333333,88.98333333,Cultural,Bangladesh,Asia and the Pacific,Ruins of the Buddhist Vihara at Paharpur
61,21.95,89.18333,Natural,Bangladesh,Asia and the Pacific,The Sundarbans
62,13.09666667,-59.61388889,Cultural,Barbados,Latin America and the Caribbean,Historic Bridgetown and its Garrison
63,53.45108333,26.47272222,Cultural,Belarus,Europe and North America,Mir Castle Complex
